song,Range,Importance_of_Bass_Register,Importance_of_Middle_Register,Importance_of_High_Register,Dominant_Spread,Strong_Tonal_Centres,Most_Common_Melodic_Interval,Number_of_Common_Melodic_Intervals,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Minor_Major_Melodic_Third_Ratio,Direction_of_Melodic_Motion,Most_Common_Vertical_Interval,Second_Most_Common_Vertical_Interval,Distance_Between_Two_Most_Common_Vertical_Intervals,Prevalence_of_Second_Most_Common_Vertical_Interval,Vertical_Unisons,Vertical_Minor_Seconds,Vertical_Thirds,Vertical_Tritones,Vertical_Perfect_Fourths,Vertical_Perfect_Fifths,Vertical_Sixths,Vertical_Sevenths,Standard_Triads,Diminished_and_Augmented_Triads,Dominant_Seventh_Chords,Non-Standard_Chords,Complex_Chords,Minor_Major_Triad_Ratio,Total_Number_of_Notes,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Dotted_Notes,Shortest_Rhythmic_Value,Longest_Rhythmic_Value,Most_Common_Rhythmic_Value,Relative_Prevalence_of_Most_Common_Rhythmic_Values,Difference_Between_Most_Common_Rhythmic_Values,Rhythmic_Value_Skewness,Median_Rhythmic_Value_Run_Length,Median_Rhythmic_Value_Offset,Median_Partial_Rest_Duration,Variability_of_Partial_Rest_Durations,Number_of_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Harmonicity_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Note_Density,Note_Density_Variability,Amount_of_Staccato,Number_of_Strong_Rhythmic_Pulses,Number_of_Moderate_Rhythmic_Pulses,Strongest_Rhythmic_Pulse,Second_Strongest_Rhythmic_Pulse,Harmonicity_of_Two_Strongest_Rhythmic_Pulses,Similar_Motion,Contrary_Motion,Parallel_Fifths,Dynamic_Range,Average_Note_to_Note_Change_in_Dynamics,pcm_intensity_sma_min,pcm_intensity_sma_minPos,pcm_loudness_sma_range,pcm_loudness_sma_maxPos,pcm_loudness_sma_linregc1,pcm_loudness_sma_skewness,pcm_zcr_sma_min,pcm_zcr_sma_maxPos,pcm_zcr_sma_minPos,pcm_zcr_sma_linregc1,pcm_zcr_sma_stddev,pcm_zcr_sma_skewness,F0_sma_maxPos,F0_sma_linregerrQ,F0env_sma_max,F0env_sma_min,F0env_sma_maxPos,F0env_sma_linregc1,F0env_sma_linregerrQ,F0env_sma_skewness,F0env_sma_kurtosis,F0env_sma_quartile3,BPM
Q1_5Ju9q1N2x0E_2,69.0,0.2422,0.6395,0.1182,5.0,2.0,5.0,3.0,0.8986,0.5066,0.05702,0.004386,0.0,0.1206,0.06579,0.03289,0.136,0.2478,1.682,0.5116,7.0,0.0,7.0,0.1731,0.0,0.01342,0.1736,5.27e-05,0.1478,0.1778,0.1356,0.05575,0.1857,0.0,0.0,0.6946,0.4066,0.0007156,516.0,0.0814,0.312,0.125,8.0,1.0,0.81,2.0,0.7817,1.0,0.1224,0.7005,0.0,1.0,44.0,1.477,1.186,8.601,3.153,0.03295,1.0,9.0,44.0,65.0,1.477,0.2903,0.01826,0.01008,74.0,11.3,1.8303863e-08,591.0,2.4931972,159.0,-5.2908517e-06,0.16661927,0.004722222,1695.0,0.0,7.6552e-08,0.008986986,0.6487928,948.0,24431.174,470.67697,31.25,951.0,0.000370316,257.0036,-2.6240435,73.29412,381.60913,130.01321411132812
Q1_o5AIp2Yc01M_1,64.0,0.2049,0.3226,0.4725,2.0,2.0,12.0,2.0,0.7903,0.4715,0.008772,0.03509,0.03728,0.05702,0.07895,0.0307,0.136,0.3202,1.256,0.4779,0.0,9.0,9.0,0.1269,0.0,0.04149,0.2057,0.08295,0.1122,0.08387,0.1923,0.05231,0.2018,0.03184,0.01797,0.406,0.136,0.4234,527.0,0.003795,0.1822,0.125,8.0,0.25,0.8054,1.0,0.5462,1.0,0.0625,0.1953,0.1195,0.0,52.0,1.192,1.635,13.18,4.086,0.1404,0.0,13.0,52.0,62.0,1.192,0.3408,0.06025,0.007194,53.0,10.03,3.2864164e-10,290.0,2.551651,652.0,-1.8688686e-05,0.45040497,0.011944444,1745.0,1943.0,-1.452273e-06,0.00824409,0.3008291,259.0,19550.969,471.48764,0.0,937.0,0.0027087906,861.2267,-6.9726,91.771774,394.76233,152.50782775878906
Q3_IH2KrGjKXw0_2,52.0,0.4474,0.4868,0.06579,6.0,3.0,4.0,0.0,1.0,0.3239,0.007042,0.0493,0.0,0.08451,0.0,0.02113,0.04225,0.5423,0.4167,0.5532,0.0,7.0,7.0,0.1986,0.0,0.01764,0.2284,0.007148,0.1316,0.1986,0.1129,0.02917,0.3973,0.0,0.0,0.3409,0.08336,0.004206,152.0,0.1184,0.4408,0.125,8.0,1.0,0.9583,2.0,0.9163,1.0,0.1198,0.901,0.0,0.0,45.0,1.2,1.398,5.068,2.633,0.01974,0.0,15.0,45.0,54.0,1.2,0.4402,0.01749,0.0,65.0,15.64,7.0343215e-10,1967.0,2.9365249,96.0,1.7072296e-05,0.5254637,0.0044444446,100.0,2.0,-3.226054e-07,0.00478702,0.27109787,537.0,26475.762,446.3661,31.25,546.0,0.0021261768,221.98026,-7.582058,166.07394,378.66187,129.66319274902344
Q1_8rupdevqfuI_0,57.0,0.2822,0.4146,0.3031,6.0,2.0,12.0,1.0,0.5,0.373,0.003968,0.003968,0.02381,0.07143,0.1111,0.03968,0.1429,0.4802,0.5,0.4622,0.0,7.0,7.0,0.147,0.0,0.04325,0.188,0.02368,0.1358,0.147,0.1298,0.08762,0.2313,0.0,0.0002327,0.6522,0.3665,0.05729,287.0,0.02439,0.4111,0.125,8.0,2.0,0.6575,3.0,0.7327,1.0,0.1302,0.3203,0.0,0.0,40.0,1.225,1.388,7.177,2.4,0.01045,0.0,13.0,40.0,49.0,1.225,0.3375,0.03448,0.003135,60.0,10.52,1.4089857e-08,3086.0,2.2251344,2267.0,-2.748832e-06,0.49782145,0.0075,2664.0,1236.0,1.3534144e-06,0.006856564,0.5165063,875.0,30070.291,419.639,0.0,880.0,0.0032986652,736.2385,-8.23229,88.049904,379.46896,98.04596710205078
Q2_XC_SiJszQx0_1,55.0,0.3725,0.3993,0.2282,3.0,2.0,12.0,1.0,0.3,0.4487,0.02281,0.01901,0.0,0.06844,0.03802,0.06464,0.2281,0.4449,1.0,0.4747,0.0,5.0,5.0,0.1403,0.0,0.04356,0.2073,0.003841,0.1403,0.1331,0.1,0.1094,0.1278,0.0,0.02947,0.5645,0.0904,0.2513,298.0,0.03356,0.6913,0.125,12.0,0.75,0.8889,2.0,0.5016,1.0,0.0651,0.1484,0.0,1.0,41.0,1.341,1.851,6.288,2.718,0.01007,1.0,11.0,41.0,55.0,1.341,0.2598,0.03337,0.0,50.0,10.22,9.698415e-09,0.0,2.8823416,2937.0,8.0096805e-05,0.5922196,0.010555555,3115.0,43.0,2.173728e-06,0.007086611,0.71493405,2968.0,31605.336,453.08408,36.036037,1555.0,-4.2290343e-05,278.4982,-3.2984562,75.68973,386.13794,162.80148315429688
Q3__vZOEQCYSaY_0,38.0,0.1224,0.2806,0.5969,3.0,3.0,0.0,2.0,0.6,0.467,0.2198,0.04945,0.0,0.04396,0.04945,0.01099,0.05495,0.2637,0.3846,0.507,7.0,4.0,3.0,0.1261,0.0,0.01978,0.2002,0.007783,0.1009,0.1869,0.1675,0.08471,0.2621,0.0,0.0,0.5858,0.2978,0.1109,196.0,0.1684,0.4592,0.125,12.0,0.75,0.7353,2.0,1.441,1.0,0.09375,0.0,0.0,2.0,43.0,1.326,1.355,4.006,1.842,0.07143,2.0,13.0,43.0,57.0,1.326,0.3448,0.00627,0.003135,62.0,15.39,0.0,0.0,2.8158643,2269.0,-6.989346e-05,0.7804402,0.0033333332,0.0,308.0,1.4225263e-07,0.02017495,35.796394,3357.0,22153.303,415.61752,0.0,2632.0,3.465619e-05,271.46225,-14.970253,314.89352,375.00034,84.93849182128906
Q1_SlsXsqotUis_0,76.0,0.2522,0.4292,0.3186,6.0,3.0,12.0,1.0,0.3857,0.4343,0.02681,0.03485,0.0,0.0429,0.06971,0.0429,0.1877,0.3592,0.76,0.4848,0.0,7.0,7.0,0.154,0.0,0.02254,0.1839,0.02855,0.116,0.154,0.1141,0.07354,0.01548,0.0003028,0.0003785,0.6064,0.1356,3.988,452.0,0.01327,0.2721,0.125,12.0,0.5,0.4898,1.0,0.9444,1.0,0.03906,0.2344,0.1048,0.0,40.0,1.2,1.314,11.95,5.487,0.04425,0.0,15.0,40.0,48.0,1.2,0.2623,0.009953,0.004098,63.0,10.54,6.7612604e-09,2145.0,2.2617552,938.0,5.3000613e-06,0.426394,0.0113888895,1191.0,854.0,1.5481073e-06,0.010100914,1.2450686,1794.0,33224.61,478.56494,35.398228,2021.0,-0.0062539442,436.3656,-2.358405,42.611816,412.18143,118.0608139038086
Q3_By3JCii1k3w_2,50.0,0.2278,0.6013,0.1709,6.0,2.0,5.0,2.0,0.8421,0.3655,0.01379,0.05517,0.01379,0.07586,0.06897,0.04828,0.04828,0.3034,0.9,0.5734,5.0,2.0,3.0,0.1421,0.0,0.05424,0.1748,0.02358,0.1432,0.1373,0.1267,0.09795,0.1254,0.0,0.0,0.8417,0.7057,0.001891,158.0,0.3101,0.443,0.125,12.0,3.0,0.9565,1.0,0.984,1.0,0.1719,0.7448,0.0,1.0,44.0,1.25,1.275,4.031,2.249,0.006329,1.0,11.0,44.0,55.0,1.25,0.252,0.009184,0.005102,65.0,16.34,3.6877643e-10,2617.0,2.177319,1515.0,3.4304245e-05,0.55483806,0.0066666664,265.0,2854.0,-4.339283e-06,0.0066510173,0.7975049,1052.0,20318.982,419.35416,31.25,1053.0,0.00318937,186.60579,-9.554425,196.46492,380.09366,109.14874267578124
Q4_kfYaGryaGzI_1,50.0,0.09434,0.4151,0.4906,2.0,2.0,2.0,2.0,0.8333,0.28,0.0,0.04,0.0,0.02,0.06,0.08,0.1,0.48,1.0,0.6,0.0,5.0,5.0,0.1604,0.0,0.03088,0.1744,0.0,0.1604,0.1507,0.09034,0.08332,0.1159,0.0,0.0,0.4498,0.1481,62.6,53.0,0.6604,0.6792,0.125,12.0,6.0,0.5882,2.0,0.3646,1.0,0.3125,3.198,1.758,1.0,42.0,1.048,1.593,1.06,0.5446,0.01887,1.0,15.0,42.0,44.0,1.048,0.5172,0.03448,0.0,68.0,21.51,1.5787775e-10,29.0,2.4024394,3343.0,2.4587536e-05,0.8825007,0.0027777776,2059.0,1492.0,4.2074947e-07,0.008969465,2.0475647,4373.0,12952.505,436.5023,0.0,4379.0,0.00545257,1404.6726,-8.851868,85.84509,378.18127,84.18775939941406
Q2_sEQf5lcnj_o_2,72.0,0.1991,0.3465,0.4544,6.0,2.0,12.0,1.0,0.5824,0.3285,0.003236,0.05178,0.001618,0.04531,0.04693,0.0178,0.1472,0.4434,0.5294,0.487,0.0,7.0,7.0,0.1582,0.0,0.0382,0.1904,0.01297,0.1265,0.1582,0.1074,0.09745,0.1635,0.0,0.0,0.7559,0.4064,29.12,658.0,0.01368,0.3906,0.125,12.0,0.5,0.8239,1.0,0.9982,1.0,0.09375,0.2109,0.0,0.0,42.0,1.31,1.211,16.47,6.894,0.03647,0.0,11.0,42.0,55.0,1.31,0.2596,0.0229,0.002274,88.0,12.81,7.286348e-09,0.0,2.9630003,1827.0,5.991574e-05,0.79744434,0.0130555555,1273.0,3377.0,-3.510393e-06,0.008525644,1.185254,1382.0,28945.469,448.57462,31.25,1246.0,-0.00023576173,291.18445,-3.4361577,89.41655,386.5188,68.17057037353516
