"ID","Song2","Category","Arousal","Valence"
"44","Beet_pathetique","Activation",2,1
"28","Beet_pathetique","Activation",3,-1
"21","Beet_pathetique","Dysphoria",3,-1
"42","Beet_pathetique","Power",4,-1
"19","Beet_pathetique","Dysphoria",2,1
"33","Beet_pathetique","Sadness",1,-1
"14","Beet_pathetique","Amazement",1,1
"03","Beet_pathetique","Sadness",1,-1
"26","Beet_pathetique","Sadness",1,-1
"34","Beet_pathetique","Activation",3,2
"09","Beet_pathetique","Dysphoria",2,-1
"17","Beet_pathetique","Sensuality",3,1
"24","Beet_pathetique","Amazement",1,-1
"11","Beet_pathetique","Tranquility",2,0
"35","Beet_pathetique","Dysphoria",1,-1
"25","Beet_pathetique","Activation",3,0
"18","Beet_pathetique","Dysphoria",1,-1
"01","Beet_pathetique","Sadness",3,-1
"13","Beet_pathetique","Dysphoria",3,0
"36","Beet_pathetique","Sensuality",3,0
"10","Beet_pathetique","Dysphoria",2,0
"27","Beet_pathetique","Transcendence",2,-1
"04","Beet_pathetique","Amazement",1,0
"08","Beet_pathetique","Sensuality",1,-1
"41","Beet_pathetique","Sadness",2,-1
"23","Beet_pathetique","Sensuality",3,0
"37","Beet_pathetique","Sensuality",2,-1
"31","Beet_pathetique","Sadness",1,-1
"22","Beet_pathetique","Amazement",1,1
"40","Beet_pathetique","Sadness",2,-1
"43","Beet_pathetique","TenderLonging",2,-2
"07","Beet_pathetique","Amazement",2,0
"15","Beet_pathetique","Amazement",2,1
"02","Beet_pathetique","Dysphoria",1,-1
"16","Beet_pathetique","Power",1,0
"38","Beet_pathetique","Dysphoria",3,-2
"06","Beet_pathetique","Sadness",2,-1
"29","Beet_pathetique","Activation",1,0
"12","Beet_pathetique","Activation",3,0
"39","Beet_pathetique","Sadness",3,-1
"30","Beet_pathetique","TenderLonging",1,0
"05","Beet_pathetique","TenderLonging",2,-1
"32","Beet_pathetique","Amazement",3,1
"20","Beet_pathetique","Activation",3,0
